Model,Accuracy,ROC_AUC,TN,FP,FN,TP,Sensitivity_Recall_Pos,Specificity_Recall_Neg
Boosting,0.9,0.9899749373433584,19,2,2,17,0.8947368421052632,0.9047619047619048
Random Forest,0.875,0.9824561403508772,19,2,3,16,0.8421052631578947,0.9047619047619048
Logistic Regression,0.925,0.9699248120300752,19,2,1,18,0.9473684210526315,0.9047619047619048
SVM (RBF),0.85,0.9448621553884712,17,4,2,17,0.8947368421052632,0.8095238095238095
